,商品英文名稱,商品價格,商品連結
0, The NEW Moisturizing Soft Cream, 0.5oz / $100  8.4oz / $1375  2oz / $380  1oz / $200  3.4oz / $570  0.5oz / $100  8.4oz / $1375  2oz / $380  1oz / $200  3.4oz / $570 ,https://www.cremedelamer.com/product/5834/104371/face/moisturizers/the-new-moisturizing-soft-cream
1, The NEW Treatment Lotion, 3.4oz / $125  5oz / $180  3.4oz / $125  5oz / $180 ,https://www.cremedelamer.com/product/11484/99912/prep/the-new-treatment-lotion/treatment
2, The Micro Peel,  $270 ,https://www.cremedelamer.com/product/20657/82050/collections/specialists/the-micro-peel
3, The Broad Spectrum SPF 50 UV Protecting Fluid,  $105 ,https://www.cremedelamer.com/product/20656/29674/face/spf/the-broad-spectrum-spf-50-uv-protecting-fluid/sun-lotion
4, The Soft Moisture Powder Foundation Broad Spectrum SPF 30, Alabaster / $140  Blossom / $140  Beach / $140  Bronze / $140  Pearl / $140  Autumn / $140  Caramel / $140  Sandstone / $140  Ecru / $140  Fair / $140  Sunrise / $140  Rose / $140 ,https://www.cremedelamer.com/product/5817/67390/skincolor/the-soft-moisture-powder-foundation-broad-spectrum-spf-30/long-lasting-foundation
5, The Mist,  $85 ,https://www.cremedelamer.com/product/20180/26248/face/cleansers-and-toners/the-mist/facial-spray
6, The Eye Concentrate,  $260 ,https://www.cremedelamer.com/product/20652/74983/face/eye-treatments/the-eye-concentrate/eye-cream
7, The Lip Polish,  $75 ,https://www.cremedelamer.com/product/24131/81982/face/lip-care/the-lip-polish
8, The Hydrating Illuminator ,  $90 ,https://www.cremedelamer.com/product/5817/64926/skincolor/the-hydrating-illuminator/highlighting-glow
9, Crème de la Mer, 0.5oz / $100  1oz / $200  2oz / $380  3.4oz / $570  16.5oz / $2675  0.5oz / $100  1oz / $200  2oz / $380  3.4oz / $570  16.5oz / $2675 ,https://www.cremedelamer.com/product/5834/12343/face/moisturizers/creme-de-la-mer/moisturizer-dry-skin
10, The Hydrating Infused Emulsion, 1.7oz / $125  4.2oz / $280  1.7oz / $125  4.2oz / $280 ,https://www.cremedelamer.com/product/11484/88916/prep/the-hydrating-infused-emulsion/lightweight-moisturizer-face
11, The Lip Volumizer,  $85 ,https://www.cremedelamer.com/product/24131/64678/face/lip-care/the-lip-volumizer/lip-plumping-gloss
12, The Luminous Lifting Cushion Foundation Broad Spectrum SPF 20, 01 Pink Porcelain / $140  03 Warm Porcelain / $140  12 Neutral Ivory / $140  23 Warm Vanilla / $140  33 Warm Bisque / $140 ,https://www.cremedelamer.com/product/5817/52692/skincolor/the-luminous-lifting-cushion-foundation-broad-spectrum-spf-20/compact-foundation
13, The Treatment Lotion Hydrating Mask,  $190 ,https://www.cremedelamer.com/product/20653/58706/face/exfoliators-masks/the-treatment-lotion-hydrating-mask/hydrating-sheet-mask
14, The Moisturizing Cool Gel Cream, 0.5oz / $100  1oz / $200  2oz / $380  0.5oz / $100  1oz / $200  2oz / $380 ,https://www.cremedelamer.com/product/5834/52333/face/moisturizers/the-moisturizing-cool-gel-cream/moisturizer-sensitive-skin
15, The Moisturizing Soft Lotion,  $320 ,https://www.cremedelamer.com/product/5834/42790/face/moisturizers/the-moisturizing-soft-lotion/lotion-for-dry-skin
16, The Moisturizing Matte Lotion,  $320 ,https://www.cremedelamer.com/product/5834/48607/face/moisturizers/the-moisturizing-matte-lotion/moisturizer-for-oily-skin
