,商品英文名稱,商品中文名稱,商品價格,商品連結
0, The New Moisturizing Soft Cream,全新 舒芙乳霜,"[['15ml', 4500], ['30ml', 7800], ['60ml', 13300], ['100ml', 19700]]",https://www.lamer.com.tw/product/5834/104371/the-new-moisturizing-soft-cream
1, The Micro Peel,深藻煥膚微晶露,[12500],https://www.lamer.com.tw/product/20657/82050/the-micro-peel/the-micro-peel
2, The Hydrating Infused Emulsion,高滲透自律修護乳,"[['125ml', 12000], ['50ml', 5600]]",https://www.lamer.com.tw/product/20650/88916/the-hydrating-infused-emulsion
3, The Moisturizing Cream,經典乳霜,"[['15ml', 4500], ['30ml', 7800], ['60ml', 13300], ['100ml', 19700]]",https://www.lamer.com.tw/product/5834/12343/the-moisturizing-cream/moisturizer-for-dry-skin
4, The Moisturizing Cool Gel Cream,水凝霜,"[['15ml', 4500], ['30ml', 7800], ['60ml', 13300]]",https://www.lamer.com.tw/product/5834/52333/the-moisturizing-cool-gel-cream/moisturizer-for-sensitive-skin
5, The Moisturizing Soft Lotion,舒芙輕乳液,[15000],https://www.lamer.com.tw/product/5834/42790/the-moisturizing-soft-lotion/lotion-for-dry-skin
6, The Moisturizing Matte Lotion,柔礦輕乳液,[15000],https://www.lamer.com.tw/product/5834/48607/the-moisturizing-matte-lotion/moisturizer-for-oily-skin
7, The Concentrate,濃萃雙重修復精華,"[['15ml', 7500], ['30ml', 14500], ['50ml', 20700]]",https://www.lamer.com.tw/product/9090/78364/the-concentrate/skin-serum
8, The Eye Concentrate,濃萃修復眼霜,[9900],https://www.lamer.com.tw/product/20652/74983/the-eye-concentrate/best-eye-cream
9, Treatment Lotion,超能修護精華露,"[['200ml', 6700], ['150ml', 6000], ['100ml', 4500]]",https://www.lamer.com.tw/product/35160/99912/offers_promotions/mothersday/treatment-lotion
10, The Treatment Lotion Hydrating Mask,濃縮精華高滲透直導膜,"[['6片', 6900], ['1 片', 0]]",https://www.lamer.com.tw/product/20653/58706/exfoliators-and-masks/the-treatment-lotion-hydrating-mask/hydrating-sheet-mask
11, The Regenerating Serum,煥顏彈力無痕精萃,[16800],https://www.lamer.com.tw/product/9090/67479/the-regenerating-serum/best-face-serum
12, The Lifting Contour Serum,緊緻塑顏精萃,[16800],https://www.lamer.com.tw/product/9090/29220/the-lifting-contour-serum/skin-tightening-face-serum
13, The Revitalizing Hydrating Serum,活膚水潤精萃,[9800],https://www.lamer.com.tw/product/9090/43795/the-revitalizing-hydrating-serum/hydrating-face-serum
14, The Mist,活膚舒緩噴霧,[4500],https://www.lamer.com.tw/product/20180/26248/the-mist/facial-spray
15, The Eye Balm Intense,甦活緊緻眼霜,[9900],https://www.lamer.com.tw/product/20652/13071/the-eye-balm-intense/eye-cream-for-wrinkles
16, The Lifting Eye Serum,緊緻彈力眼部精萃,[12000],https://www.lamer.com.tw/product/20652/39441/the-lifting-eye-serum/rejuvenating-eye-serum
17, Genaissance de la Mer The Serum Essence,創世紀原晶極萃,[28000],https://www.lamer.com.tw/product/9090/37490/genaissance-de-la-mer-the-serum-essence/anti-aging-skin-serum
18, Genaissance de la Mer The Eye & Expression Cream,創世紀原晶眼部精華霜,[17600],https://www.lamer.com.tw/product/20652/51458/genaissance-de-la-mer-the-eye-expression-cream/anti-aging-eye-cream
19, Genaissance de la Mer The Infused Lotion,創世紀原晶前導精露,[11800],https://www.lamer.com.tw/product/11484/51457/prep/genaissance-de-la-mer-the-infused-lotion/anti-aging-face-lotion
20, The Lip Polish,星砂柔化修護唇膜,[3900],https://www.lamer.com.tw/product/5819/81982/body/the-lip-polish
21, The Lip Volumizer,修護唇萃,[3900],https://www.lamer.com.tw/product/5819/64678/body/the-lip-volumizer/lip-plumping-gloss
22, The Lip Balm,修護唇霜,[3900],https://www.lamer.com.tw/product/5819/64925/body/the-lip-balm/moisturizing-lip-balm
23, The Renewal Oil,修護精華油,"[['30ml', 12500], ['15ml', 6500]]",https://www.lamer.com.tw/product/20657/36221/the-renewal-oil/anti-aging-face-oil
24, The Intensive Revitalizing Mask,煥采醒膚面膜,[10000],https://www.lamer.com.tw/product/20653/30929/exfoliators-and-masks/the-intensive-revitalizing-mask/anti-pollution-face-mask
25, The Lifting and Firming Mask,緊緻塑顏乳霜面膜,[12000],https://www.lamer.com.tw/product/20653/30156/exfoliators-and-masks/the-lifting-and-firming-mask/anti-aging-face-mask
26, The Hydrating Facial,活膚潤澤面膜,[15000],https://www.lamer.com.tw/product/20653/12524/exfoliators-and-masks/the-hydrating-facial/cotton-sheet-mask
27, The Replenishing Oil Exfoliator,角質柔化霜,[6500],https://www.lamer.com.tw/product/20180/52336/the-replenishing-oil-exfoliator/exfoliating-scrub
28, The Cleansing Foam,淨瑩潔膚乳,[4800],https://www.lamer.com.tw/product/20180/26245/the-cleansing-foam/energizing-face-wash
29, The Cleansing Micellar Water,淨妝水,[4800],https://www.lamer.com.tw/product/20180/40981/the-cleansing-micellar-water/waterproof-makeup-remover
30, The Cleansing Gel,潔膚凝膠,[4800],https://www.lamer.com.tw/product/20180/26244/the-cleansing-gel/gel-face-wash
31, The Cleansing Oil,淨妝凝露,[4800],https://www.lamer.com.tw/product/20180/27036/the-cleansing-oil/face-makeup-remover
32, The Cleansing Lotion,潔膚乳,[4800],https://www.lamer.com.tw/product/20180/26243/the-cleansing-lotion/cleansing-makeup-remover
33, The Tonic,醒膚水(滋潤型),[4800],https://www.lamer.com.tw/product/20180/26246/the-tonic/face-toner
34, The Hand Treatment,護手霜,[5000],https://www.lamer.com.tw/product/5819/12350/body/the-hand-treatment/hand-cream
35, The Body Crème,身體乳霜,[15700],https://www.lamer.com.tw/product/5819/12320/body/the-body-creme/moisturizing-body-cream
36, The Renewal Oil,修護精華油,"[['30ml', 12500], ['15ml', 6500]]",https://www.lamer.com.tw/product/20657/36221/the-renewal-oil/anti-aging-face-oil
37, The Renewal Oil Body Balm ,身體修護精華油,[10500],https://www.lamer.com.tw/product/20657/67537/the-renewal-oil-body-balm/best-body-oil
38, NECK & DÉCOLLETÉ LA,緊緻精華頸霜,[14000],https://www.lamer.com.tw/product/20657/65231/neck-decollete-la/neck-cream
39,The Radiant SkinTint, 完美潤色防護乳SPF30,"[['3 色號', 4500]]",https://www.lamer.com.tw/product/15853/76767/our-latest-luxuries/spf30/the-radiant-skintint/the-radiant-skintints-SPF30
40,The Perfecting Primer, 柔焦妝前乳,['4500'],https://www.lamer.com.tw/product/5817/76630/the-perfecting-primer
41,The Soft Moisture Powder Foundation SPF 30, 完美潤澤防曬粉餅SPF30,"[['3 色號', 5500]]",https://www.lamer.com.tw/product/15853/67390/our-latest-luxuries/spf30/the-soft-moisture-powder-foundation-spf-30/powder-foundation
42,The Soft Fluid Long Wear Foundation SPF20, 潤澤無瑕持妝粉底液SPF20,"[['6 色號', 5500]]",https://www.lamer.com.tw/product/5817/40984/spf20/the-soft-fluid-long-wear-foundation-spf20/face-foundation-makeup
43,The Luminous Lifting Cushion Foundation SPF20, 奇蹟煥采氣墊粉霜SPF20,"[['5 色號', 5500]]",https://www.lamer.com.tw/product/5817/52692/spf20/the-luminous-lifting-cushion-foundation-spf20/compact-foundation
44,The Powder, 完美輕蜜粉,['4500'],https://www.lamer.com.tw/product/5817/41000/the-powder/best-powder-foundation
45,The Foundation Brush, 粉底刷,['4500'],https://www.lamer.com.tw/product/5817/41004/the-foundation-brush/foundation-makeup-brush
46,The Powder Brush, 蜜粉刷,['4500'],https://www.lamer.com.tw/product/5817/40792/the-powder-brush/powder-foundation-brush
47,The Hydrating Illuminator, 水亮煥采光澤乳,['4500'],https://www.lamer.com.tw/product/20657/64926/the-hydrating-illuminator/The-Hydrating-Illuminator
48,The SPF50 UV Protecting Fluid PA+++, 高防護隔離乳SPF50 PA+++,['4700'],https://www.lamer.com.tw/product/20656/60016/spf50-pa/the-spf50-uv-protecting-fluid-pa/the-spf50-uv-protecting-fluid-pa
49,The Soft Moisture Powder Foundation SPF 30 Refill, 海洋拉娜完美潤澤防曬粉餅SPF30(粉蕊),['4000'],https://www.lamer.com.tw/product/5817/77106/spf30/the-soft-moisture-powder-foundation-spf-30-refill/the-soft-moisture-powder-foundation-SPF30-refill
